Database	TOTAL
Words	557561
total     2126634
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
a~	16	7.523627e-06	0.000000e+00	0.000000e+00	1.000000e+00	1.343750e-01	6.692969e-02	1.050000e-01	1.250000e-01	1.525000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.343750e-01	6.692969e-02	1.050000e-01	1.250000e-01	1.525000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
E~	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O~	1	4.702267e-07	0.000000e+00	0.000000e+00	1.000000e+00	4.000000e-02	0.000000e+00	4.000000e-02	4.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.000000e-02	0.000000e+00	4.000000e-02	4.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9~	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	101983	4.795513e-02	9.805556e-06	5.932459e-01	4.067443e-01	8.599295e-02	1.157558e-01	4.000000e-02	6.000000e-02	9.000000e-02	1.500000e-01	0.000000e+00	1.500000e-01	1.500000e-01	1.500000e-01	9.286404e-02	1.233537e-01	4.000000e-02	6.000000e-02	1.000000e-01	7.596976e-02	1.028632e-01	3.000000e-02	5.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9	6461	3.038134e-03	0.000000e+00	2.507352e-02	9.749265e-01	7.291828e-02	3.104252e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.762346e-02	1.705126e-02	3.000000e-02	5.000000e-02	6.000000e-02	7.356882e-02	3.105014e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
@	81201	3.818287e-02	1.747515e-02	4.415217e-01	5.410032e-01	8.817667e-02	1.051517e-01	4.000000e-02	5.000000e-02	9.000000e-02	1.449827e-01	1.690831e-01	5.000000e-02	8.000000e-02	1.900000e-01	9.442433e-02	1.062068e-01	4.000000e-02	6.000000e-02	1.100000e-01	8.124292e-02	1.006244e-01	3.000000e-02	5.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
C	48452	2.278342e-02	3.570544e-03	6.420788e-01	3.284281e-01	7.215440e-02	4.969587e-02	4.000000e-02	6.000000e-02	9.000000e-02	1.123988e-01	7.867838e-02	7.000000e-02	9.000000e-02	1.300000e-01	7.416008e-02	5.421452e-02	4.000000e-02	6.000000e-02	9.000000e-02	6.891410e-02	3.893911e-02	4.000000e-02	6.000000e-02	9.000000e-02	5.798567e-02	4.193054e-02	3.000000e-02	5.000000e-02	7.000000e-02
E	52222	2.455618e-02	9.566850e-02	1.175750e-02	8.922485e-01	7.238952e-02	4.712822e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.266916e-02	5.111614e-02	4.000000e-02	6.000000e-02	9.000000e-02	8.159609e-02	1.020390e-01	3.000000e-02	5.000000e-02	1.000000e-01	7.225003e-02	4.550375e-02	4.000000e-02	6.000000e-02	9.000000e-02	4.000000e-02	1.658312e-02	3.000000e-02	3.000000e-02	4.000000e-02
