Database;TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Words;557561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
total;2126634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;!ENTER;<p:>;@;C;E;E:;E~;I;N;O;OY;O~;Q;S;U;Y;Z;2;02:00:00;6;9;9~;a;a:;aI;aU;a~;b;d;e;e:;f;g;h;i;i:;j;k;l;m;n;o;o:;p;r;s;t;u;u:;v;x;y;y:;z;!EXIT
OY;0;0.001433252;0.02170352;0.02313677;0.0002047502;0;0;0.01105651;0;0;0;0;0.003071253;0.005323505;0.0006142505;0;0;0;0;0.01781327;0;0;0.0006142505;0;0;0;0;0.002866503;0.01146601;0;0.0002047502;0.03828829;0.003685503;0.0006142505;0;0;0.002047502;0.05180179;0.003890255;0.02846028;0.5272317;0;0;0.0006142505;0.02006552;0.006142505;0.214783;0;0;0.0004095003;0;0;0;0.002047502;0.0004095003
O~;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q;0;0.0004054146;0.0002702764;0.0004955068;0.1046195;0.002319872;0;0.1914232;0;0.009392101;0.002229779;0;0;0;0.1208811;0.002905471;0;0;0.003040608;0;0.001914458;0;0.2061983;0.04763621;0.07937115;0.05669047;0.0000675691;0.00004504607;0.0001576612;0.009797519;0.03065384;0.00004504607;0.00004504607;0.00002252302;0.005022636;0.01540575;0.00002252302;0;0;0.0005405528;0.0276808;0.03851438;0.02211762;0;0;0;0;0.001306336;0.01180207;0.00002252302;0;0;0.006892048;0.00002252302;0.00002252302
S;0;0.0109987;0.01981622;0.0001392241;0.03596621;0.0005568962;0;0.01220531;0.00023204;0.007286059;0.0001856322;0;0.002552441;0.006218676;0.00821422;0.01424726;0;0;0.04487655;0.003619826;0.00009281604;0;0.01684611;0.003619826;0.02278634;0.05745313;0;0.0005104882;0.003387786;0.00004640804;0.001206609;0.001809913;0.002366809;0.0008353444;0.0008817523;0.01406163;0.001902729;0.00162428;0.1368108;0.009188789;0.05476147;0.00009281604;0.09476518;0.1298032;0.01935215;0.0005104882;0.225775;0;0.004919251;0.02320401;0;0;0.0006033043;0.001485057;0.002181177
U;0;0.001382835;0.00006012323;0.00003006163;0.0001503081;0;0;0.0007816025;0.1030813;0.00006012323;0;0;0.0001803698;0.0009920338;0.00006012323;0;0;0;0;0.04713663;0;0;0.0002104315;0.00009018484;0.00006012323;0.00003006163;0;0.0003306778;0.002434992;0;0.00003006163;0.001803698;0.0001202465;0.0001503081;0;0;0.0001503081;0.01121299;0.007335036;0.1677739;0.562934;0;0;0.001683451;0.00009018484;0.06733804;0.01190441;0;0;0.0005711709;0.001202465;0;0.00003006163;0.008357133;0.0002404929
Y;0;0.001753316;0;0.002896783;0.00007623111;0;0;0.0006860803;0.001448392;0;0;0;0.0009147737;0.0006098491;0.003506633;0;0;0;0;0.291889;0;0;0.0008385426;0.00007623111;0.004268943;0.0001524623;0;0.001219698;0.02447019;0;0;0.009757586;0.001219698;0.001295929;0;0.0003049244;0.0002286934;0.07280074;0.02271688;0.09719469;0.2915078;0;0;0.01112974;0.001143467;0.1395792;0.008385423;0;0;0.001067236;0;0;0;0.006784569;0.00007623111
Z;0;0;0.4659498;0;0.1648746;0;0;0.003584229;0;0.05734767;0;0;0;0;0.01075269;0;0;0;0;0.007168459;0;0;0.04301075;0.007168459;0;0;0;0;0;0.01075269;0.07526883;0;0;0;0.003584229;0.08243728;0.003584229;0;0;0.003584229;0;0.02508961;0.02150538;0;0;0;0;0;0.01075269;0;0;0;0.003584229;0;0
2;0;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852
02:00:00;0;0.02676537;0.003132119;0.002562643;0.0002847379;0;0;0.0005694761;0.03075171;0;0;0;0.002562643;0;0.0005694761;0;0.0005694761;0;0.0002847379;0.2437358;0;0;0.0002847379;0.0002847379;0;0;0;0.0002847379;0.02192483;0;0;0;0.03302961;0.0002847379;0;0;0.0002847379;0.2343394;0.004840547;0.007403191;0.2730638;0;0;0.001708428;0.03473805;0.04071754;0.02192483;0;0;0.002562643;0;0;0;0.01053531;0
6;0;0.07313507;0.001069456;0.005592567;0.005151048;0.00004905758;0;0.01750375;0.009311131;0.001501163;0;0;0.01713091;0.03528223;0.01891661;0;0.00001962304;0;0.000009811525;0;0.000009811525;0;0.02174233;0.005023498;0.01458973;0.01359877;0;0.03030779;0.1111449;0.00001962304;0.006151823;0.0481157;0.0378136;0.02961117;0;0.00142267;0.008280923;0.0286987;0.02392049;0.07558796;0.09792879;0;0.002138912;0.005425772;0.009281697;0.05453243;0.09349398;0;0.0008634138;0.03518411;0.00007849216;0;0.001618901;0.03622414;0.02251744
9;0;0.0007738739;0;0.1916112;0.0001547748;0;0;0.0001547748;0;0;0;0;0.006810091;0.0004643243;0.0001547748;0;0;0;0;0.01919208;0;0;0;0;0;0;0;0;0.001702523;0;0;0.01207243;0.0001547748;0;0;0.001083424;0.0004643243;0.001547748;0.1598824;0.1324873;0.4254759;0;0;0.02182325;0.0003095497;0.001392973;0.002166848;0;0;0.01934685;0;0;0;0.0006190991;0.0001547748
9~;0;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852
a;0;0.006458178;0.0002998823;0.00006426047;0.0003641426;0.00001071008;0;0.000974617;0.02995609;0.00003213025;0;0;0.001542251;0.001702903;0.0008889367;0.00001071008;0.0002249116;0;0;0.0002998823;0;0;0.001145978;0.0002998823;0.0004391132;0.0003427225;0;0.005194387;0.004466103;0.00001071008;0.0003641426;0.009296349;0.002934561;0.01167399;0;0.00003213025;0.003148763;0.007871908;0.1049373;0.08691229;0.2943879;0;0.000139231;0.03554675;0.04097676;0.2048088;0.04227268;0.00007497056;0.00001071008;0.002142016;0.07000107;0;0.00006426047;0.02554353;0.002131306
a:;0;0.05461825;0.001375328;0.0003812792;0.003431513;0;0;0.0176614;0.02252271;0.0004085135;0;0;0.01397116;0.005923445;0.004861309;0.00001361711;0.001593202;0;0.00001361711;0.01684437;0;0;0.01150646;0.006141319;0.004793225;0.006508979;0;0.1164672;0.05337909;0;0.001102986;0.01600011;0.06895707;0.02404782;0;0.0004085135;0.005773658;0.1207021;0.06334681;0.07327368;0.04322073;0;0.0006808558;0.005828124;0.09450277;0.009082615;0.01737544;0.00001361711;0.00005446843;0.02120185;0.06024211;0;0.0005991531;0.0107439;0.02042567
aI;0;0.01638489;0.002963891;0.07284492;0.0006053015;0;0;0.005886037;0.02354415;0.0001669798;0;0;0.008599456;0.01279482;0.006929661;0;0;0;0;0.008578585;0;0;0.002087247;0.0004383218;0.0009392611;0.0008766435;0;0.008244624;0.04558547;0;0.0003757044;0.004863285;0.009329993;0.006867042;0;0.01840952;0.001899395;0.005865164;0.02895012;0.07950323;0.3437696;0;0.0005009392;0.005906908;0.001210603;0.04877897;0.1810687;0;0.0005635567;0.006407847;0;0;0.00008348987;0.02951367;0.008662073
aU;0;0.02166499;0.02041124;0.00005015045;0.0008525576;0;0;0.002607824;0.001504513;0.0009528584;0;0;0.006268806;0.01619859;0.00215647;0;0;0;0;0.02106319;0;0;0.00325978;0.0007021065;0.001855567;0.0004012036;0;0.02873621;0.01278836;0;0.0002006018;0.1736209;0.04508526;0.007522568;0;0.0001003009;0.002808426;0.009277834;0.003610832;0.02146439;0.05060181;0;0.001705115;0.05712136;0.002306921;0.1836008;0.03365095;0;0.000451354;0.008826479;0.2237212;0;0.0001003009;0.01840521;0.01434303
a~;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b;0;0.006408834;0.1546501;0.001799403;0.04113978;0.0002957924;0;0.261086;0;0.004091794;0.0008627278;0;0.001232468;0.0008627278;0.01380364;0.001405014;0;0;0.0003697404;0.1479948;0.0003943899;0;0.009982991;0.05026005;0.1391949;0.005373561;0;0.0003697404;0.004535482;0.00004929874;0.009440706;0.0006655327;0.0009120263;0.001405014;0.002489586;0.0155784;0.001059923;0.0003204418;0.02879045;0.01964554;0.002908624;0.0003450911;0.003007223;0.00002464936;0.04325963;0.002021248;0.0006655327;0.0001232468;0.01476497;0.0009613251;0;0.00192265;0.002095196;0.001405014;0.00002464936
d;0;0.0009707076;0.07391082;0.0001142008;0.0364986;0.00001142009;0;0.02397077;0;0.04301947;0.001404671;0;0.0002169817;0.0002626621;0.008884828;0.001027808;0.001119168;0;0.0001027808;0.07703991;0.00002284017;0;0.2899446;0.09327927;0.0007308858;0.004830696;0;0.0001027808;0.000376863;0.006246788;0.1412094;0.0004910638;0.0001713013;0.0001827214;0.003917091;0.1032033;0.001610232;0.00006852054;0.006440929;0.0008793468;0.01483469;0.0003540228;0.0008679268;0.00001142009;0.04774738;0.001496031;0.0001941414;0.001027808;0.009570035;0.0002626621;0;0.00001142009;0.0001713013;0.001187689;0
e;0;0.009040538;0;0.0002916301;0.0002916301;0;0;0.0008748905;0;0.0005832606;0;0;0.0810732;0.001458151;0.0002916301;0;0.002041412;0;0;0.001458151;0;0;0.002333042;0.005832603;0;0.0002916301;0;0.02566346;0.01137358;0;0;0.05628464;0.077282;0.001458151;0;0.0002916301;0.0002916301;0.05365996;0.1079032;0.08661418;0.021289;0.04432779;0;0.01312336;0.05920093;0.001166521;0.1802275;0;0;0.06065908;0;0;0.0002916301;0.08865558;0.004374452
e:;0;0.03349611;0.02073877;0.01746876;0.003528172;0;0;0.007142395;0.008175032;0.0004732914;0;0;0.02792419;0.001118689;0.003549685;0;0;0;0.00002151325;0.2606329;0;0;0.003033368;0.000709937;0.0007959901;0.0009250693;0;0.0273003;0.02319127;0;0.0007744767;0.002474023;0.04401609;0.006647591;0;0.000623884;0.001742573;0.01273584;0.008906483;0.1136975;0.2678183;0.0002796722;0.0003872384;0.004259622;0.01118689;0.002947314;0.05451455;0;0.0003442119;0.006626078;0;0;0.000623884;0.01045544;0.008712864
f;0;0.02179203;0.0198814;0.0002523478;0.07366751;0.004307937;0;0.04316949;0.0003244471;0.08271598;0.00007209938;0;0.008345501;0.002487428;0.01144577;0.07970583;0;0;0.0001441987;0.01979127;0.001387912;0;0.04172751;0.03289533;0.01027416;0.004452135;0;0.00328052;0.01496062;0.00394744;0.01809694;0.004848681;0.005335352;0.002847924;0.04142108;0.04197985;0.002631627;0.001135565;0.04302529;0.01737594;0.0283711;0.002036807;0.07245985;0.0006128444;0.09583806;0.003262496;0.08385155;0.00009012423;0.00730006;0.01440185;0;0.0003244471;0.0252528;0.002775825;0.003695091
g;0;0.0004508114;0.3010669;0.00007513526;0.05044079;0.0009767581;0;0.04232619;0.06116009;0.01868363;0.00002504507;0;0.0001001803;0.00498397;0.03052995;0.01134542;0;0;0.00002504507;0.0109447;0.0008264875;0;0.06822279;0.01920958;0.001552795;0.0001001803;0;0.0003506312;0.0003255862;0.001928471;0.1011571;0.0001753156;0.002053697;0.0001753156;0.0005009015;0.01492687;0.0002504509;0.002254057;0.04813665;0.001277299;0.005384693;0.002830094;0.0002254057;0.00005009017;0.05299539;0.000275496;0.0001252254;0.001302344;0.1397265;0.0002504509;0;0;0.0002254057;0.00005009017;0
h;0;0.007527523;0.002462274;0;0.1080235;0.00003517535;0;0.04970277;0.006718492;0.00664814;0.02652221;0;0.001195962;0.0002462275;0.01459777;0.0007386822;0;0;0.03348693;0;0.001125611;0;0.2062331;0.2219213;0.04724049;0.040522;0;0.002110521;0.004537619;0.0001055261;0.01417567;0.0008793837;0.00196982;0.0007738577;0.00007035073;0.03686377;0.001477364;0.001160787;0.0006683316;0.02353231;0.04928067;0.04512997;0.03098948;0.000492455;0.0002814029;0.001160787;0.0007738577;0.0001055261;0.002638151;0.004115516;0;0;0.0004572796;0.001195962;0.0001055261
i;0;0.08025706;0.001345091;0.0007472723;0.001195636;0;0;0.009415634;0;0.0007472723;0;0;0.01913017;0.003586909;0.008668362;0;0;0;0;0;0;0;0.01240472;0.006725451;0.001345091;0.006725451;0;0.02196981;0.04692871;0;0.0005978178;0.02809745;0.01599163;0.01733672;0;0.0002989089;0.003138544;0.01599163;0.346286;0.01778508;0.08982216;0.009714541;0.002540727;0.01076073;0.03781199;0.003437452;0.07039306;0.0001494545;0.0002989089;0.04379017;0;0;0.0002989089;0.02271708;0.04154835
i:;0;0.02245435;0.001728672;0.002022914;0.002519448;0;0;0.006767567;0.00141604;0.0006988248;0;0;0.008496239;0.008404289;0.004064219;0;0;0;0.00003678026;0.2953087;0;0;0.007116979;0.002078085;0.002225206;0.002832079;0;0.02633466;0.08556927;0;0.003034372;0.0249554;0.02946098;0.006896299;0;0.00136087;0.00281369;0.01496957;0.03387461;0.04180076;0.1743936;0.00001839012;0.0005517039;0.02642661;0.02057855;0.01309377;0.04262832;0;0.0004781434;0.03175975;0;0;0.0007356052;0.0476856;0.002409107
j;0;0.002757149;0.01240717;0;0.08751724;0.0007559922;0;0.000311291;0;0.007070752;0;0;0.0004447013;0.00004447013;0.005025125;0.0001334105;0;0;0.0004891715;0.0001334105;0.0000889403;0;0.04909503;0.6895095;0.001423044;0.006092408;0;0.00004447013;0;0.0007115221;0.02445857;0.0001334105;0.00004447013;0.0002223507;0;0.0000889403;0.00004447013;0;0;0.000311291;0.0002223507;0.007248633;0.01747676;0.00004447013;0.00004447013;0;0.001200694;0.002179037;0.08151375;0.0005781118;0;0;0.00004447013;0.00004447013;0.00004447013
k;0;0.06446985;0.0379857;0.001176028;0.01013736;0.0009878633;0;0.01731113;0.006844482;0.06004798;0.0001411234;0;0.01477091;0.003998495;0.03805626;0.005292126;0;0;0.0008702608;0.002893029;0.09504657;0;0.08154577;0.01378305;0.03624518;0.007197291;0;0.007032645;0.04196067;0.00002352056;0.04330134;0.03161163;0.006750399;0.01679368;0.001034905;0.01996895;0.00209333;0.004092577;0.06282341;0.01359488;0.01519428;0.002845988;0.004915797;0.003198796;0.01740521;0.09671654;0.05659046;0.0006350551;0.004586508;0.01978079;0.00002352056;0;0.0007761785;0.006303508;0.02114498
l;0;0.04024694;0.04041748;0.009209045;0.04418637;0.002626284;0;0.09768408;0.00003410759;0.00990825;0.005235512;0;0.01495617;0.005644805;0.01086326;0.00162011;0;0;0.002131723;0.01255159;0.0003240219;0;0.04509021;0.04495378;0.08919131;0.02210171;0;0.01952658;0.0227327;0.003598349;0.0324363;0.03968416;0.008970291;0.006292847;0.01773594;0.03903613;0.009925302;0.006565707;0.002950305;0.01790648;0.03704082;0.005354889;0.01366008;0.01243221;0.002336369;0.01761656;0.06782291;0.00139841;0.01874211;0.01354071;0.00001705379;0.0001364303;0.004672738;0.06884614;0.01004468
m;0;0.05919441;0.02492982;0.0006126633;0.02017333;0.0006015239;0;0.1127412;0.00001113933;0.00985831;0.00002227865;0;0.0149824;0.005859288;0.02893998;0.02251259;0;0;0.01062692;0.02549793;0.01371252;0;0.07611505;0.05193156;0.04900192;0.004723075;0;0.02800428;0.02555363;0.0004901306;0.01003654;0.03594662;0.006761574;0.01155148;0.006093213;0.100098;0.008231967;0.006327138;0.005736755;0.04748697;0.01880319;0.004444592;0.01998396;0.004879026;0.002149891;0.01071603;0.03511117;0.002717996;0.003308382;0.03124582;0.00003341798;0.00004455733;0.001392417;0.02685692;0.01394644
n;0;0.07209526;0.04729672;0.002619244;0.009032976;0.002273048;0;0.04890471;0.0005420695;0.02608767;0.01173877;0;0.01864902;0.01197564;0.01968305;0.0002459811;0.00005010728;0;0.0003826373;0.01678138;0.00001822084;0;0.0248851;0.02243439;0.01050431;0.01439445;0;0.0211726;0.06620537;0.00003188644;0.0198106;0.04794355;0.01451745;0.02699871;0.00474197;0.003662385;0.009757251;0.01338775;0.005507246;0.02292636;0.03966218;0.004177124;0.009821028;0.004965176;0.004350223;0.05697653;0.130739;0.003275194;0.01598422;0.0444406;0.000004555209;0;0.001270903;0.03195022;0.0351252
o;0;0.07897682;0.0008792965;0.01047162;0.005195844;0;0;0.05483613;0;0.0008792965;0;0;0.02022382;0.006554755;0.003916867;0;0.00007993608;0;0;0.0003197443;0;0;0.01734613;0.00263789;0.004556354;0.006634693;0;0.07186251;0.06666666;0;0.001758593;0.04044764;0.05475619;0.0148681;0;0.001119105;0.007833733;0.1467626;0.01286971;0.06394884;0.03085532;0.00007993608;0.001358913;0.00647482;0.04132694;0.01718625;0.1358913;0;0;0.04060752;0;0;0.001039169;0.01846523;0.01031175
o:;0;0.03571098;0.0005094951;0.0004168596;0.002871701;0.00004631775;0;0.014868;0.001852709;0.0004168596;0;0;0.01106994;0.006993979;0.009356185;0;0;0;0;0.1886522;0;0;0.007318204;0.0009726727;0.006067623;0.003149606;0;0.03626679;0.1220472;0;0.0003705418;0.09383974;0.02149143;0.006113941;0;0.00004631775;0.004724409;0.008151921;0.03515517;0.02640111;0.1918944;0;0.0006484484;0.006206577;0.01014359;0.0381195;0.02843909;0;0.000185271;0.0569245;0.002547475;0;0.0006021306;0.008429831;0.01097731
p;0;0.07954485;0.02216201;0.0002709293;0.01668924;0.004822542;0;0.008452996;0;0.009807639;0.0002709293;0;0.009753456;0.01706854;0.009319967;0.000812788;0;0;0.0001083717;0.01132485;0.0002167434;0;0.1149824;0.01338391;0.00406394;0.004172311;0;0.003955569;0.03110268;0.003088594;0.03690057;0.02091574;0.009536712;0.007206718;0.002275806;0.03018153;0.008236251;0.006339744;0.06903277;0.01235438;0.01164996;0.003630452;0.002438364;0.0005960445;0.2167976;0.03099431;0.1217556;0.0002167434;0.0009211596;0.01755622;0;0;0.0005418586;0.01869412;0.005852073
r;0;0.0224147;0.08611159;0.0008269499;0.1137709;0.002350279;0;0.0823468;0.00004352366;0.007181405;0.01279596;0.00002176184;0.002045612;0.007050837;0.02319812;0.01810585;0;0;0.001458043;0.005266366;0.0002176183;0;0.0295961;0.04989989;0.1665869;0.05801706;0.0002829038;0.02391626;0.008791783;0.01830171;0.01096797;0.008421832;0.003808322;0.002807277;0.005984504;0.02169655;0.002132661;0.01671309;0.002284993;0.006376218;0.01405815;0.02332869;0.01264363;0.001436282;0.001153377;0.003764799;0.03797441;0.01479805;0.01151201;0.006572075;0;0.007050837;0.03053186;0.002654944;0.01072859
s;0;0.06271269;0.02894013;0.002206442;0.01649393;0.0001631523;0;0.07706232;0.0000388458;0.000916761;0.002058828;0;0.02410771;0.01020091;0.02214211;0.00009322997;0.00001553833;0;0.000139845;0.004785805;0.000194229;0;0.0136815;0.003775812;0.03035412;0.006541635;0;0.01636963;0.04732196;0.000139845;0.04544183;0.02460494;0.03196234;0.01817207;0.001041068;0.009408457;0.01330857;0.01452833;0.007629319;0.03305778;0.0511677;0.0001243066;0.001623755;0.006790249;0.009478379;0.01124975;0.1672934;0.01192567;0.02473702;0.1116429;0.00004661496;0.00006215331;0.003084358;0.01888683;0.01227528
