Database	TOTAL
n         0 7.209526e-02 4.729672e-02 2.619244e-03 9.032976e-03 2.273048e-03 0 4.890471e-02 5.420695e-04 2.608767e-02 1.173877e-02 0 1.864902e-02 1.197564e-02 1.968305e-02 2.459811e-04 5.010728e-05 0 3.826373e-04 1.678138e-02 1.822084e-05 0 2.488510e-02 2.243439e-02 1.050431e-02 1.439445e-02 0 2.117260e-02 6.620537e-02 3.188644e-05 1.981060e-02 4.794355e-02 1.451745e-02 2.699871e-02 4.741970e-03 3.662385e-03 9.757251e-03 1.338775e-02 5.507246e-03 2.292636e-02 3.966218e-02 4.177124e-03 9.821028e-03 4.965176e-03 4.350223e-03 5.697653e-02 1.307390e-01 3.275194e-03 1.598422e-02 4.444060e-02 4.555209e-06 0 1.270903e-03 3.195022e-02 3.512520e-02
o         0 7.897682e-02 8.792965e-04 1.047162e-02 5.195844e-03 0*2 5.483613e-02 0 8.792965e-04 0*2 2.022382e-02 6.554755e-03 3.916867e-03 0 7.993608e-05 0*2 3.197443e-04 0*2 1.734613e-02 2.637890e-03 4.556354e-03 6.634693e-03 0 7.186251e-02 6.666666e-02 0 1.758593e-03 4.044764e-02 5.475619e-02 1.486810e-02 0 1.119105e-03 7.833733e-03 1.467626e-01 1.286971e-02 6.394884e-02 3.085532e-02 7.993608e-05 1.358913e-03 6.474820e-03 4.132694e-02 1.718625e-02 1.358913e-01 0*2 4.060752e-02 0*2 1.039169e-03 1.846523e-02 1.031175e-02
o:        0 3.571098e-02 5.094951e-04 4.168596e-04 2.871701e-03 4.631775e-05 0 1.486800e-02 1.852709e-03 4.168596e-04 0*2 1.106994e-02 6.993979e-03 9.356185e-03 0*4 1.886522e-01 0*2 7.318204e-03 9.726727e-04 6.067623e-03 3.149606e-03 0 3.626679e-02 1.220472e-01 0 3.705418e-04 9.383974e-02 2.149143e-02 6.113941e-03 0 4.631775e-05 4.724409e-03 8.151921e-03 3.515517e-02 2.640111e-02 1.918944e-01 0 6.484484e-04 6.206577e-03 1.014359e-02 3.811950e-02 2.843909e-02 0 1.852710e-04 5.692450e-02 2.547475e-03 0 6.021306e-04 8.429831e-03 1.097731e-02
p         0 7.954485e-02 2.216201e-02 2.709293e-04 1.668924e-02 4.822542e-03 0 8.452996e-03 0 9.807639e-03 2.709293e-04 0 9.753456e-03 1.706854e-02 9.319967e-03 8.127880e-04 0*2 1.083717e-04 1.132485e-02 2.167434e-04 0 1.149824e-01 1.338391e-02 4.063940e-03 4.172311e-03 0 3.955569e-03 3.110268e-02 3.088594e-03 3.690057e-02 2.091574e-02 9.536712e-03 7.206718e-03 2.275806e-03 3.018153e-02 8.236251e-03 6.339744e-03 6.903277e-02 1.235438e-02 1.164996e-02 3.630452e-03 2.438364e-03 5.960445e-04 2.167976e-01 3.099431e-02 1.217556e-01 2.167434e-04 9.211596e-04 1.755622e-02 0*2 5.418586e-04 1.869412e-02 5.852073e-03
r         0 2.241470e-02 8.611159e-02 8.269499e-04 1.137709e-01 2.350279e-03 0 8.234680e-02 4.352366e-05 7.181405e-03 1.279596e-02 2.176184e-05 2.045612e-03 7.050837e-03 2.319812e-02 1.810585e-02 0*2 1.458043e-03 5.266366e-03 2.176183e-04 0 2.959610e-02 4.989989e-02 1.665869e-01 5.801706e-02 2.829038e-04 2.391626e-02 8.791783e-03 1.830171e-02 1.096797e-02 8.421832e-03 3.808322e-03 2.807277e-03 5.984504e-03 2.169655e-02 2.132661e-03 1.671309e-02 2.284993e-03 6.376218e-03 1.405815e-02 2.332869e-02 1.264363e-02 1.436282e-03 1.153377e-03 3.764799e-03 3.797441e-02 1.479805e-02 1.151201e-02 6.572075e-03 0 7.050837e-03 3.053186e-02 2.654944e-03 1.072859e-02
s         0 6.271269e-02 2.894013e-02 2.206442e-03 1.649393e-02 1.631523e-04 0 7.706232e-02 3.884580e-05 9.167610e-04 2.058828e-03 0 2.410771e-02 1.020091e-02 2.214211e-02 9.322997e-05 1.553833e-05 0 1.398450e-04 4.785805e-03 1.942290e-04 0 1.368150e-02 3.775812e-03 3.035412e-02 6.541635e-03 0 1.636963e-02 4.732196e-02 1.398450e-04 4.544183e-02 2.460494e-02 3.196234e-02 1.817207e-02 1.041068e-03 9.408457e-03 1.330857e-02 1.452833e-02 7.629319e-03 3.305778e-02 5.116770e-02 1.243066e-04 1.623755e-03 6.790249e-03 9.478379e-03 1.124975e-02 1.672934e-01 1.192567e-02 2.473702e-02 1.116429e-01 4.661496e-05 6.215331e-05 3.084358e-03 1.888683e-02 1.227528e-02
t         0 6.107975e-02 9.945536e-02 1.705289e-03 4.181924e-02 1.130250e-03 0 3.024575e-02 5.287717e-05 2.505056e-03 6.874033e-04 0 1.814348e-02 9.861596e-03 1.495102e-02 4.514389e-03 0*2 1.520219e-04 3.031845e-02 4.626751e-05 0 1.898952e-02 7.784182e-02 5.915635e-03 4.150860e-03 0 6.953351e-03 2.491837e-02 3.456845e-03 1.162637e-02 1.444869e-02 6.781500e-03 1.184449e-02 1.480561e-03 8.347985e-03 6.583209e-03 3.985617e-03 9.987176e-03 1.416448e-02 7.221040e-02 3.912911e-03 5.201793e-03 3.899691e-03 2.599574e-02 2.616032e-01 7.125200e-03 1.930017e-03 6.761668e-03 2.802490e-02 0*2 1.969674e-03 1.177178e-02 2.144830e-02
u         0 4.651163e-03 0*2 4.909561e-02 0*2 3.359174e-03 7.751939e-04 0*3 4.056848e-02 1.447028e-02 2.583978e-04 0*4 1.550388e-03 0*2 5.426356e-03 3.612403e-01 2.583978e-04 5.167959e-04 0 2.506460e-02 2.248062e-02 0 1.033592e-03 2.273902e-02 6.718348e-03 4.392765e-03 2.842378e-03 2.325582e-03 1.550388e-03 9.302327e-03 2.997416e-02 2.661499e-02 2.609819e-02 0 2.583978e-04 1.291990e-03 1.434108e-01 1.808785e-03 1.111111e-02 0*2 6.459949e-03 1.550388e-03 0*2 1.700258e-01 7.751939e-04
u:        0 1.587893e-02 4.190920e-03 9.313151e-05 1.862631e-03 0*2 3.213039e-03 1.816065e-03 2.328289e-04 0*2 9.452851e-03 6.519208e-03 1.769499e-03 0*4 2.664494e-01 0*2 2.840512e-03 8.381840e-04 2.095460e-03 7.916182e-04 0 1.108265e-02 3.888243e-02 0 4.190920e-04 3.287544e-02 6.984867e-03 5.448195e-03 2.328289e-04 1.443539e-03 8.847497e-04 8.498255e-02 4.875436e-02 2.500582e-02 8.130384e-02 0 1.396973e-04 9.452851e-03 4.097789e-03 6.891733e-03 2.490803e-01 0 1.396973e-03 5.541327e-03 5.727591e-02 0 1.862631e-04 8.055880e-03 1.536671e-03
v         0 1.323029e-03 2.166863e-02 0 6.311816e-02 6.197261e-02 0 4.493458e-02 0 8.377032e-02 9.680701e-05 0 2.904209e-04 1.613450e-05 2.042627e-02 5.903612e-02 0*2 3.872278e-04 6.116587e-02 1.394020e-02 0 1.548589e-01 4.277255e-02 8.088224e-02 1.613449e-04 0 3.226899e-05 1.613449e-04 5.163040e-04 4.153020e-02 1.290759e-04 4.840348e-05 1.290759e-04 2.791268e-03 2.157828e-01 2.097484e-04 3.226899e-05 2.097484e-04 1.936139e-04*2 1.871602e-03 2.395973e-02 0 1.452105e-04 0 1.613450e-05 0 1.613450e-05 8.551283e-04 0*2 1.613449e-04 6.453800e-05 1.290759e-04
x         0 6.778426e-02 1.711677e-01 3.068896e-04 4.910235e-03 0*2 2.574037e-02 3.076569e-02 7.672243e-04 0*2 2.712138e-02 2.317017e-02 1.016572e-02 0*4 3.145619e-03 0*2 1.407856e-02 3.222341e-03 2.228786e-02 5.677460e-03 0 1.557465e-02 8.765537e-02 0 1.687893e-03 3.368114e-02 2.662268e-02 2.923124e-02 0 1.457726e-03 4.296455e-03 1.116311e-02 5.025319e-03 6.847475e-02 6.118613e-02 0 2.340034e-03 3.222341e-03 6.905019e-03 8.132575e-03 1.576646e-01 0 6.905018e-04 2.719810e-02 3.836121e-05 0 2.340034e-03 2.290164e-02 1.219886e-02
y         0 1.111111e-01 2.267573e-03 1.360544e-02 0*3 3.401361e-02 0*4 1.814059e-02 4.081632e-02 2.494331e-02 0*7 4.308390e-02 1.360544e-02 0 3.854875e-02 0 9.070293e-03 3.174604e-02 0 4.535147e-03 4.535148e-02 1.587302e-02 1.360544e-02 0 2.267573e-03*3 6.349207e-02 5.668934e-02 2.040816e-02 0 4.535147e-03 2.267573e-03 1.859410e-01 1.587302e-02 2.721089e-02 0*2 4.535148e-02 0*3 3.628118e-02 7.482993e-02
y:        0 7.972459e-03 1.793803e-02 9.784381e-03 1.630730e-03 0*2 9.059612e-04 3.261460e-03 0*3 1.612611e-02 1.866280e-02 2.355499e-03 0*4 2.676210e-01 0*2 5.435767e-04 1.811923e-04*2 1.811922e-03 0 3.391919e-01 8.153651e-03 0 1.811923e-04 1.069034e-02 6.740353e-02 9.059612e-04 0*2 7.247689e-04 1.304584e-02 1.105272e-02 3.623845e-03 9.965574e-03 0 5.435767e-04 7.791265e-03 1.576372e-02 1.342635e-01 1.503895e-02 0*2 6.885305e-03 0*2 1.811923e-04 2.717884e-03 2.899076e-03
z         0 3.485478e-03 6.596325e-02 3.319502e-04 7.208062e-02 4.742146e-04 0 9.299349e-02 2.371073e-05 6.446947e-02 9.484292e-05 0 9.010077e-04 3.793717e-04 6.591583e-03 7.824542e-04 0*2 1.493776e-03 1.249555e-02 1.422644e-04 0 3.727326e-02 5.820984e-02 1.972733e-02 4.386486e-03 0 2.133966e-04 1.991701e-03 9.152341e-03 9.813870e-02 4.742146e-04 8.298754e-04 6.639003e-04 2.584470e-03 1.731120e-01 1.707173e-03 2.371072e-04 1.896858e-04 3.983402e-03 1.790160e-02 1.239834e-01 9.128631e-02 9.484292e-05 6.639003e-04 4.765856e-03 3.556610e-04*2 2.155305e-02 1.304090e-03 0*2 8.298754e-04 1.304090e-03 2.371073e-05
!EXIT     0 1.851852e-02*54
