Database	TOTAL
Words	557561
total     2056487
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
a~	16	7.780258e-06	0.000000e+00	0.000000e+00	1.000000e+00	1.343750e-01	6.692969e-02	1.050000e-01	1.250000e-01	1.525000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.343750e-01	6.692969e-02	1.050000e-01	1.250000e-01	1.525000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
E~	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O~	1	4.862661e-07	0.000000e+00	0.000000e+00	1.000000e+00	4.000000e-02	0.000000e+00	4.000000e-02	4.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.000000e-02	0.000000e+00	4.000000e-02	4.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9~	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	31836	1.548077e-02	3.141098e-05	7.519789e-01	2.479897e-01	1.025667e-01	1.130356e-01	5.000000e-02	7.000000e-02	1.100000e-01	1.500000e-01	0.000000e+00	1.500000e-01	1.500000e-01	1.500000e-01	1.092077e-01	1.204989e-01	5.000000e-02	8.000000e-02	1.300000e-01	8.242330e-02	8.339620e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9	6337	3.081469e-03	0.000000e+00	2.556415e-02	9.744359e-01	7.347404e-02	3.098968e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.762346e-02	1.705126e-02	3.000000e-02	5.000000e-02	6.000000e-02	7.415223e-02	3.098360e-02	5.000000e-02	7.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
@	81201	3.948530e-02	1.747515e-02	4.415217e-01	5.410032e-01	8.817667e-02	1.051517e-01	4.000000e-02	5.000000e-02	9.000000e-02	1.449827e-01	1.690831e-01	5.000000e-02	8.000000e-02	1.900000e-01	9.442433e-02	1.062068e-01	4.000000e-02	6.000000e-02	1.100000e-01	8.124292e-02	1.006244e-01	3.000000e-02	5.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
C	48452	2.356057e-02	3.570544e-03	6.420788e-01	3.284281e-01	7.215440e-02	4.969587e-02	4.000000e-02	6.000000e-02	9.000000e-02	1.123988e-01	7.867838e-02	7.000000e-02	9.000000e-02	1.300000e-01	7.416008e-02	5.421452e-02	4.000000e-02	6.000000e-02	9.000000e-02	6.891410e-02	3.893911e-02	4.000000e-02	6.000000e-02	9.000000e-02	5.798567e-02	4.193054e-02	3.000000e-02	5.000000e-02	7.000000e-02
E	39418	1.916764e-02	1.001319e-01	1.557664e-02	8.838602e-01	7.929931e-02	4.702392e-02	5.000000e-02	7.000000e-02	1.000000e-01	7.776289e-02	5.267742e-02	4.000000e-02	7.000000e-02	1.000000e-01	8.159609e-02	1.020390e-01	3.000000e-02	5.000000e-02	1.000000e-01	7.945207e-02	4.475551e-02	5.000000e-02	7.000000e-02	1.000000e-01	4.000000e-02	1.658312e-02	3.000000e-02	3.000000e-02	4.000000e-02
