Database	TOTAL
Words	557561
total     2056487
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
aU6	420	2.042318e-04	2.857143e-02	4.023810e-01	5.690476e-01	2.391432e-01	1.056055e-01	1.800000e-01	2.200000e-01	2.700000e-01	2.879167e-01	1.138072e-01	2.550000e-01	2.975000e-01	3.225000e-01	2.633432e-01	1.384123e-01	1.900000e-01	2.400000e-01	2.900000e-01	2.195821e-01	6.776522e-02	1.700000e-01	2.100000e-01	2.550000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
E:6	3052	1.484084e-03	0.000000e+00	8.699214e-01	1.300786e-01	1.464223e-01	1.046955e-01	9.000000e-02	1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.466218e-01	1.091268e-01	9.000000e-02	1.200000e-01	1.600000e-01	1.450883e-01	6.809298e-02	9.000000e-02	1.300000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
y:6	1477	7.182151e-04	1.354096e-03	8.476642e-01	1.401490e-01	1.524207e-01	1.551857e-01	8.000000e-02	1.000000e-01	1.600000e-01	1.400000e-01	9.899495e-02	1.050000e-01	1.400000e-01	1.750000e-01	1.582350e-01	1.606298e-01	8.000000e-02	1.000000e-01	1.700000e-01	1.044450e-01	6.058403e-02	8.000000e-02	9.000000e-02	1.100000e-01	3.196953e-01	3.198975e-01	9.006250e-02	2.100000e-01	4.900000e-01
2:6	856	4.162438e-04	7.009346e-03	5.373832e-02	9.380841e-01	1.524716e-01	1.308122e-01	9.000000e-02	1.200000e-01	1.700000e-01	1.433437e-01	6.375997e-02	9.254687e-02	1.400000e-01	2.025000e-01	2.038057e-01	2.533309e-01	1.000000e-01	1.500000e-01	1.875000e-01	1.497018e-01	1.202017e-01	9.000000e-02	1.200000e-01	1.700000e-01	7.000000e-02	0.000000e+00	7.000000e-02	7.000000e-02	7.000000e-02
a:6	1237	6.015112e-04	5.658852e-03	8.003234e-02	9.143088e-01	1.667950e-01	1.074632e-01	1.100000e-01	1.400000e-01	1.900000e-01	1.528571e-01	5.089672e-02	1.250000e-01	1.400000e-01	1.550000e-01	1.315657e-01	8.208273e-02	9.000000e-02	1.000000e-01	1.400000e-01	1.699650e-01	1.091493e-01	1.100000e-01	1.500000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
u:6	5722	2.782415e-03	5.662356e-02	3.325760e-01	2.446697e-02	1.881321e-01	1.577370e-01	9.000000e-02	1.400000e-01	2.300000e-01	1.575617e-01	5.604547e-02	1.200000e-01	1.500000e-01	1.800000e-01	1.680928e-01	1.494840e-01	8.000000e-02	1.100000e-01	2.100000e-01	1.412143e-01	8.463606e-02	1.000000e-01	1.200000e-01	1.500000e-01	2.044087e-01	1.688015e-01	1.000000e-01	1.600000e-01	2.500000e-01
o:6	4073	1.980562e-03	2.209673e-03	2.619691e-01	6.808250e-01	1.421584e-01	1.215605e-01	9.000000e-02	1.150000e-01	1.500000e-01	1.066806e-01	3.239568e-02	9.006250e-02	1.000000e-01	1.300000e-01	1.753284e-01	1.133714e-01	9.006250e-02	1.400000e-01	2.300000e-01	1.208439e-01	7.595048e-02	9.000000e-02	1.100000e-01	1.300000e-01	2.494434e-01	3.378145e-01	9.000000e-02	1.350000e-01	2.400000e-01
e:6	12115	5.891114e-03	1.297565e-01	7.021048e-01	1.262897e-01	1.377629e-01	1.159674e-01	8.000000e-02	1.100000e-01	1.500000e-01	1.529232e-01	7.689910e-02	1.200000e-01	1.400000e-01	1.800000e-01	1.335418e-01	1.233892e-01	8.000000e-02	1.000000e-01	1.400000e-01	1.440918e-01	9.382832e-02	1.000000e-01	1.300000e-01	1.700000e-01	1.424758e-01	1.412126e-01	7.000000e-02	9.000000e-02	1.600000e-01
i:6	16058	7.808462e-03	9.092041e-03	8.420102e-01	1.242994e-01	1.391509e-01	1.259711e-01	8.000000e-02	1.000000e-01	1.500000e-01	1.327055e-01	4.323603e-02	1.000000e-01	1.300000e-01	1.500000e-01	1.385596e-01	1.274240e-01	8.000000e-02	1.000000e-01	1.500000e-01	1.473250e-01	1.242748e-01	9.000000e-02	1.200000e-01	1.600000e-01	1.204684e-01	9.971327e-02	7.000000e-02	9.000000e-02	1.350000e-01
E6	12804	6.226152e-03	5.459231e-02	1.208216e-01	7.972509e-01	1.326238e-01	1.419081e-01	7.000000e-02	9.000000e-02	1.400000e-01	1.181689e-01	1.010007e-01	7.000000e-02	1.000000e-01	1.300000e-01	1.710766e-01	1.387995e-01	7.000000e-02	1.100000e-01	2.500000e-01	1.267588e-01	1.430583e-01	7.000000e-02	9.000000e-02	1.300000e-01	1.625866e-01	1.599515e-01	8.000000e-02	1.100000e-01	2.000000e-01
I6	3150	1.531738e-03	2.504762e-01	2.984127e-02	7.196825e-01	1.050559e-01	9.579088e-02	7.000000e-02	9.000000e-02	1.200000e-01	1.250890e-01	1.103414e-01	8.000000e-02	1.100000e-01	1.400000e-01	1.286177e-01	1.995402e-01	6.000000e-02	8.000000e-02	1.100000e-01	9.710661e-02	8.159327e-02	7.000000e-02	8.000000e-02	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
O6	3121	1.517637e-03	1.723806e-01	3.172060e-02	7.949375e-01	1.649332e-01	1.204588e-01	1.100000e-01	1.500000e-01	1.900000e-01	1.696841e-01	5.580687e-02	1.400000e-01	1.600000e-01	1.900000e-01	2.095486e-01	2.704914e-01	9.006250e-02	1.300000e-01	2.000000e-01	1.621408e-01	1.208174e-01	1.100000e-01	1.500000e-01	1.900000e-01	1.500000e-01	1.000000e-02	1.450000e-01	1.500000e-01	1.550000e-01
U6	1568	7.624653e-04	2.551020e-03	8.354592e-02	9.139030e-01	1.218114e-01	1.035561e-01	7.000000e-02	9.503125e-02	1.400000e-01	1.650000e-01	4.654747e-02	1.525000e-01	1.750000e-01	1.875000e-01	1.009160e-01	6.857562e-02	6.000000e-02	8.000000e-02	1.100000e-01	1.236011e-01	1.060897e-01	7.000000e-02	1.000000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
Y6	3829	1.861913e-03	2.350483e-03	8.331157e-02	9.130321e-01	1.053789e-01	9.964353e-02	7.000000e-02	8.000000e-02	1.100000e-01	1.300000e-01	1.804855e-01	6.000000e-02	7.000000e-02	8.000000e-02	9.594083e-02	9.997824e-02	6.000000e-02	7.000000e-02	1.000000e-01	1.061959e-01	9.937772e-02	7.000000e-02	9.000000e-02	1.200000e-01	9.200000e-02	6.099180e-02	6.000000e-02	6.000000e-02	8.000000e-02
26	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a6	28	1.361545e-05	6.428571e-01	0.000000e+00	3.571429e-01	1.692857e-01	5.127476e-02	1.300000e-01	1.600000e-01	2.025000e-01	1.805556e-01	4.987894e-02	1.400000e-01	1.650000e-01	2.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.490000e-01	4.976612e-02	1.100000e-01	1.400000e-01	1.975000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
e6	5	2.431331e-06	0.000000e+00	0.000000e+00	1.000000e+00	1.140000e-01	2.701851e-02	1.100000e-01	1.200000e-01	1.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.140000e-01	2.701851e-02	1.100000e-01	1.200000e-01	1.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
i6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o6	4	1.945065e-06	0.000000e+00	0.000000e+00	1.000000e+00	2.325000e-01	1.973787e-01	7.000000e-02	1.950000e-01	3.575000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.325000e-01	1.973787e-01	7.000000e-02	1.950000e-01	3.575000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
u6	6	2.917597e-06	0.000000e+00	0.000000e+00	1.000000e+00	1.400000e-01	5.727128e-02	1.100000e-01	1.150000e-01	1.725000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.400000e-01	5.727128e-02	1.100000e-01	1.150000e-01	1.725000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
y6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	124	6.029700e-05	0.000000e+00	1.612903e-02	9.838710e-01	1.511295e-01	1.503177e-01	1.000000e-01	1.400000e-01	1.625000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.050000e-01	1.060660e-01	1.675000e-01	2.050000e-01	2.425000e-01	1.502464e-01	1.510866e-01	1.000000e-01	1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
